question_id,question,prediction,ground_truth,source_url,question_type,latency_sec
ce93ef1e-1e16-499c-9b83-83f41b88eba9,What is the name of the film that M. works as a cook in?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".",The Ivory Tower. [Source 1] The Ivory Tower. [Source 1] The Ivory Tower. [Source 1] The Ivory Tower. [Source 1] The Ivory Tower. [Source 1] The Ivory Tower. [Source 1] The Ivory Tower. [Source 1] The Ivory Tower. [Source 1] The Ivory Tower.,https://en.wikipedia.org/wiki/The_Ivory_Tower_(1992_film),factual,239.623
24efc8a0-f203-4376-804a-c8969489638a,What is the name of the character who is the best friend of M.?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".","waiter R., has given away M's location to his city friends who suddenly show up to throw a party. In addition, his best friend, the waiter R., has given away M's location to his city friends who suddenly show up to throw a party. In addition, his best friend, the waiter R., has given away M's location to his city friends who suddenly show up to throw a party.",https://en.wikipedia.org/wiki/The_Ivory_Tower_(1992_film),comparative,53.742
91ba2c41-ad75-4601-a133-5fdc372b7181,Why does M. have writer's block?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".","heart attack. He suffers a mild heart attack. He decides to turn his life around and write the great novel that he always felt inside him. He packs a little bundle, puts on his feathered hat and ventures into the woods of Brandenburg. When he discovers an abandoned water tower, he immediately knows that this is his Ivory Tower. However, after a few promising pages into his novel, M. experiences a severe case of writer's block.",https://en.wikipedia.org/wiki/The_Ivory_Tower_(1992_film),inferential,52.945
5219e36b-12d6-447e-be85-fadd8cf713aa,What is the name of the character who is a cook in a busy Berlin restaurant?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".",Matthias Drawe. (Source 1). (Source 2). (Source 3). (Source 4). (Source 5). (Source 6). (Source 7). (Source 8). (Source 9). (Source 10). (Source 11). (Source 12). (Source 13). (Source 14). (Source 15). (Source 16). (Source 17). (Source 18). (Source 19). (Source 20). (Source 21). (Source 22). (Source 23). (Source 24). (Source 25). (Source 26). (Source 27). (Source 28). (Source 29). (Source 30). (Source 31). (Source 31). (Source 31). (Source 31). (Source 32). (Source 33). (Source 34). (Source 32). (Source 33). (Source 34). (Source 35). (Source 31). (Source 32). (Source 33). (Source 34). (Source 35). (Source 31). (Source 32). (Source 33). (Source 34). (Source 35). (Source 31). (Source 32). (Source 33).,https://en.wikipedia.org/wiki/The_Ivory_Tower_(1992_film),multi-hop,52.117
b36a3204-4336-46c6-99fe-21e4b320af9e,What is the name of the genus of armored catfish native to South America?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".",Yaluwak. [Source 1] Yaluwak. [Source 2] Yaluwak. [Source 3] Yaluwak. [Source 4] Yaluwak. [Source 5] Yaluwak. [Source 6] Yaluwak. [Source 7] Yaluwak. [Source 8] Yaluwak. [Source 9] Yaluwak.,https://en.wikipedia.org/wiki/Yaluwak,factual,54.031
cc517917-4d90-4b29-891f-bc8496588cc1,Which species of catfish are not found in Guyana?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".",Ancistrus species. [Source 1] Yaluwak primus. [Source 2] mbophanes. [Source 3] Chaetostoma carrioni. [Source 4] Leptoancistrus. [Source 5] Yaluwak primus. [Source 6] Yaluwak primus. [Source 7] Yaluwak primus.,https://en.wikipedia.org/wiki/Yaluwak,comparative,50.199
1034ab2f-993d-4aa1-b795-fb51d4e18763,How is the genus Yaluwak primus different from other loricariids?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".","plates of armor on its body and a suckermouth. Small odontodes are also present along the body, but are absent from the preopercle and the dorsal two thirds of the opercle. Yaluwak is also differentiable from Corymbophanes by its larger maximum body size. This species is considered a medium-sized loricariid, with the largest specimen examined measuring 122.9 mm Standard Length.",https://en.wikipedia.org/wiki/Yaluwak,inferential,54.406
82e65458-69cd-4e9e-9085-b374230967c9,What is the genus Yaluwak primus?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".","armored catfish native to South America. [Source 1] Yaluwak is a genus of armored catfish native to South America where they are only known from Guyana. [Source 2] Yaluwak is considered a medium-sized loricariid, with the largest specimen examined measuring 122.9 mm Standard Length. The coloration of the species is light brown mottling on a dark brown base, with a pale white abdomen covered with light brown or grey stippling around the margins and posterior to pectoral girdle.",https://en.wikipedia.org/wiki/Yaluwak,multi-hop,55.213
df8fea85-b83a-4d0a-baf2-8edc33f77c8d,What was the name of the garden that was created by François Racine de Monville?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".",The Désert de Retz. (Source 1] The Désert de Retz. (Source 2] The Pyramid Ice House. (Source 3] The Column House. (Source 4] The Désert de Retz. (Source 5] The Désert de Retz. (Source 6] The Désert de Retz. (Source 7] The Désert de Retz. (Source 8] The Désert de Retz. (Source 9] The Désert de Retz. (Source 10] The Désert de Retz. (Source 11) The Désert de Retz. (Source 12) The Désert de Retz. (Source 13) The Désert de Retz. (Source 14) The Désert de Retz. (Source 15) The Désert de Retz. (Source 16) The Désert de Retz. (Source 17) The Désert de Retz,https://en.wikipedia.org/wiki/D%C3%A9sert_de_Retz,factual,54.217
cfa4d018-a1b7-40cd-b204-bf0c151027f8,What is the name of the garden that was created by Monville?,"An action potential (also known as a nerve impulse or ""spike"" when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This ""depolarization"" (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. An action potential occurs in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells. Certain endocrine cells such as pancreatic beta cells, and certain cells of the anterior pituitary gland are also excitable cells. In neurons, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. The temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential, or nerve impulse, is often said to ""fire"".",The Désert de Retz. [Source 1] The Désert de Retz. [Source 2] The Pyramid Ice House. [Source 3] The Column House. [Source 4] The Pyramid Ice House. [Source 5] The Column House. [Source 6] The Pyramid Ice House. [Source 7] The Pyramid Ice House. [Source 8] The Pyramid Ice House. [Source 9] The Pyramid Ice House. [Source 10] The Pyramid Ice House. [Source 11] The Pyramid Ice House. [Source 12] The Pyramid Ice House. [Source 13] The Pyramid Ice House. [Source 14] The Pyramid Ice House. [Source 15] The Pyramid Ice House. [Source 16] The Pyramid Ice House. [Source 17] The Pyramid Ice House. [Source 17] The Pyramid Ice House. [Source 17] The Pyramid Ice House. [Source 17] The Pyramid Ice House. [Source 17] The Pyramid Ice House. [Source 17] The Pyramid Ice House. [Source 17] The Pyramid Ice House. [Source,https://en.wikipedia.org/wiki/D%C3%A9sert_de_Retz,comparative,52.713
